article_id,article_version,hcpc_modifier_group,paragraph,last_updated
58679,38,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/07/2026
60377,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/06/2026
60375,5,1,,08/06/2026
60391,4,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/06/2026
60361,7,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,08/05/2026
58323,13,1,,08/05/2026
58565,52,1,&lt;p&gt;When addressing a specific toe(s) or finger(s) use the respective CPT&amp;#174; HCPCS Level II modifier to identify them on the claim. Other modifiers listed below may include (but are not to be used alone when a more specific modifier is needed to clarify the procedure).&lt;&sol;p&gt;,08/04/2026
57917,32,1,,08/03/2026
56690,18,1,,07/31/2026
57435,27,1,,07/31/2026
60155,6,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
60152,8,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
52370,135,1,,07/31/2026
57326,42,1,,07/31/2026
58559,42,1,,07/31/2026
58756,26,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58756,26,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58756,26,3,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58468,41,1,,07/31/2026
58761,70,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,3,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,4,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,5,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,6,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,7,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,8,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,9,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,10,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,11,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58761,70,12,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/31/2026
58734,20,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/30/2026
59416,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/30/2026
52830,9,1,,07/28/2026
58376,67,1,,07/28/2026
58710,92,1,,07/28/2026
58710,92,2,,07/28/2026
58710,92,3,,07/28/2026
58710,92,4,,07/28/2026
58710,92,5,,07/28/2026
58710,92,6,,07/28/2026
58710,92,7,,07/28/2026
58710,92,8,,07/28/2026
58710,92,9,,07/28/2026
58710,92,10,,07/28/2026
58710,92,11,,07/28/2026
58710,92,12,,07/28/2026
58652,29,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58652,29,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58652,29,3,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,2,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,3,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,4,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,5,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
58720,90,6,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/28/2026
