lcd_id,lcd_version,hcpc_code_id,hcpc_code_version,hcpc_code_group,long_description,short_description,range,last_updated
33610,70,A4223,102,1,"INFUSION SUPPLIES NOT USED WITH EXTERNAL INFUSION PUMP, PER CASSETTE OR BAG (LIST DRUGS SEPARATELY)",Infusion supplies w&sol;o pump,N,06/19/2026
33610,70,J1459,102,1,"INJECTION, IMMUNE GLOBULIN (PRIVIGEN), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",Inj ivig privigen 500 mg,N,06/19/2026
33610,70,J1552,102,1,"INJECTION, IMMUNE GLOBULIN (ALYGLO), 500 MG","Inj, alyglo, 500 mg",N,06/19/2026
33610,70,J1553,102,1,"INJECTION, IMMUNE GLOBULIN (YIMMUGO), 100 MG",Inj yimmugo 100 mg,N,06/19/2026
33610,70,J1554,102,1,"INJECTION, IMMUNE GLOBULIN (ASCENIV), 500 MG",Inj. asceniv,N,06/19/2026
33610,70,J1556,102,1,"INJECTION, IMMUNE GLOBULIN (BIVIGAM), 500 MG","Inj, imm glob bivigam, 500mg",N,06/19/2026
33610,70,J1557,102,1,"INJECTION, IMMUNE GLOBULIN, (GAMMAPLEX), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",Gammaplex injection,N,06/19/2026
33610,70,J1561,102,1,"INJECTION, IMMUNE GLOBULIN, (GAMUNEX-C&sol;GAMMAKED), NON-LYOPHILIZED (E.G., LIQUID), 500 MG",Gamunex-c&sol;gammaked,N,06/19/2026
33610,70,J1566,102,1,"INJECTION, IMMUNE GLOBULIN, INTRAVENOUS, LYOPHILIZED (E.G., POWDER), NOT OTHERWISE SPECIFIED, 500 MG","Immune globulin, powder",N,06/19/2026
33610,70,J1568,102,1,"INJECTION, IMMUNE GLOBULIN, (OCTAGAM), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",Octagam injection,N,06/19/2026
33610,70,J1569,102,1,"INJECTION, IMMUNE GLOBULIN, (GAMMAGARD LIQUID&sol;GAMMAGARD LIQUID ERC), 500 MG",Gammagard liquid&sol;erc inj,N,06/19/2026
33610,70,J1572,102,1,"INJECTION, IMMUNE GLOBULIN, (FLEBOGAMMA&sol;FLEBOGAMMA DIF), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",Flebogamma injection,N,06/19/2026
