lcd_id,lcd_version,hcpc_code_group,paragraph,last_updated
33610,70,1,"&lt;p&gt;EY - No physician or other licensed health care provider order for this item or service&lt;br &sol;&gt;&lt;br &sol;&gt;JW - Drug amount discarded&sol;not administered to any patient&lt;&sol;p&gt;
&lt;p&gt;JZ - Zero drug amount discarded&sol;not administered to any patient&lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS CODES:&lt;br &sol;&gt;&lt;br &sol;&gt;&lt;&sol;p&gt;",06/19/2026
33794,171,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS MODIFIERS:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;EY &amp;ndash; No physician or other licensed health care provider order for this item or service&lt;&sol;p&gt;
&lt;p&gt;GA &amp;ndash; Waiver of liability statement issued as required by payer policy, individual case&lt;&sol;p&gt;
&lt;p&gt;GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit&lt;&sol;p&gt;
&lt;p&gt;GZ &amp;ndash; Item or service expected to be denied as not reasonable and necessary&lt;&sol;p&gt;
&lt;p&gt;JB - Administered Subcutaneously&lt;&sol;p&gt;
&lt;p style=&quot;line-height: normal;&quot;&gt;JK - One month supply or less of drug or biological&lt;&sol;p&gt;
&lt;p style=&quot;line-height: normal;&quot;&gt;JL - Three month supply of drug or biological&lt;&sol;p&gt;
&lt;p&gt;JW - Drug amount discarded&sol;not administered to any patient&lt;&sol;p&gt;
&lt;p&gt;JZ - Zero drug amount discarded&sol;not administered to any patient&lt;&sol;p&gt;
&lt;p&gt;KX - Requirements specified in the medical policy have been met&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS CODES:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;EQUIPMENT&lt;&sol;strong&gt;&lt;&sol;p&gt;",06/19/2026
33794,171,2,&lt;p&gt;SUPPLIES&lt;&sol;p&gt;,06/19/2026
33794,171,3,"&lt;p&gt;&lt;span style=&quot;line-height: 107%;&quot;&gt;SUBCUTANEOUS IMMUNE GLOBULIN &lt;&sol;span&gt;DRUGS&lt;&sol;p&gt;
&lt;p&gt;&amp;nbsp;&lt;&sol;p&gt;",06/19/2026
33794,171,4,&lt;p&gt;&lt;p style=&quot;line-height: normal;&quot;&gt;Drugs for other indications&lt;&sol;p&gt;&lt;&sol;p&gt;,06/19/2026
33832,20,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage.&lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS MODIFIERS:&lt;br &sol;&gt;&lt;br &sol;&gt;AU - Item furnished in conjunction with a urological, ostomy or tracheostomy supply. &lt;br &sol;&gt;&lt;br &sol;&gt;EY - No physician or other licensed health care provider order for this item or service. &lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS CODES:&lt;&sol;p&gt;",05/05/2026
36267,44,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS MODIFIERS: &lt;br &sol;&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;EY - No physician or other licensed health care provider order for this item or service&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS CODES: &lt;&sol;strong&gt;&lt;&sol;p&gt;",04/08/2026
33787,40,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage.&lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS MODIFIERS:&lt;br &sol;&gt;&lt;br &sol;&gt;EY &amp;ndash; No physician or other licensed health care provider order for this item or service&lt;&sol;p&gt;
&lt;p&gt;GA &amp;ndash; Waiver of liability statement issued as required by payer policy, individual case&lt;&sol;p&gt;
&lt;p&gt;GY &amp;ndash; Item or service statutorily excluded or does not meet the definition of any Medicare benefit&lt;&sol;p&gt;
&lt;p&gt;GZ &amp;ndash; Item or service expected to be denied as not reasonable and necessary&lt;&sol;p&gt;
&lt;p&gt;K0 - Lower limb extremity prosthesis functional Level 0 - Does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility &lt;br &sol;&gt;&lt;br &sol;&gt;K1 - Lower extremity prosthesis functional Level 1 - Has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. Typical of the limited and unlimited household ambulator. &lt;br &sol;&gt;&lt;br &sol;&gt;K2 - Lower extremity prosthesis functional Level 2 - Has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs, or uneven surfaces. Typical of the limited community ambulator. &lt;br &sol;&gt;&lt;br &sol;&gt;K3 - Lower extremity prosthesis functional Level 3 - Has the ability or potential for ambulation with variable cadence. Typical of the community ambulator who has the ability to traverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion. &lt;br &sol;&gt;&lt;br &sol;&gt;K4 - Lower extremity prosthesis functional Level 4 - Has the ability or potential for prosthetic ambulation that exceeds basic ambulation skills, exhibiting high impact, stress, or energy levels. Typical of the prosthetic demands of the child, active adult, or athlete. &lt;&sol;p&gt;
&lt;p&gt;KX &amp;ndash; Requirements specified in the medical policy have been met&lt;&sol;p&gt;
&lt;p&gt;LT - Left side&lt;&sol;p&gt;
&lt;p&gt;RT - Right side&lt;br &sol;&gt;&lt;br &sol;&gt;HCPCS CODES:&lt;&sol;p&gt;",04/02/2026
33686,43,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage. &lt;br &sol;&gt;&lt;br &sol;&gt;&lt;p&gt;&lt;b&gt;HCPCS MODIFIERS:&lt;&sol;b&gt;&lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;EY - No physician or other licensed health care provider order for this item or service &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;GA – Waiver of liability statement issued as required by payer policy, individual case &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;GZ – Item or service expected to be denied as not reasonable and necessary &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;KX - Requirements specified in the medical policy have been met &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;LT - Left Side &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;p&gt;RT - Right Side &lt;&sol;p&gt;&lt;br &sol;&gt;&lt;br &sol;&gt;&lt;p&gt;&lt;b&gt;HCPCS CODES:&lt;&sol;b&gt;&lt;&sol;p&gt;&lt;&sol;p&gt;",04/02/2026
33803,61,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage. &lt;br &sol;&gt;&lt;br &sol;&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS MODIFIERS:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;AU &amp;#8211; Item furnished in conjunction with a urological, ostomy, or tracheostomy supply&lt;&sol;p&gt;
&lt;p&gt;EY - No physician or other licensed health care provider order for this item or service&lt;&sol;p&gt;
&lt;p&gt;GA &amp;#8211; Waiver of liability statement issued as required by payer policy, individual case&lt;&sol;p&gt;
&lt;p&gt;GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit&lt;&sol;p&gt;
&lt;p&gt;GZ &amp;#8211; Item or service expected to be denied as not reasonable and necessary&lt;&sol;p&gt;
&lt;p&gt;KX - Requirements specified in the medical policy have been met&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS CODES&lt;&sol;strong&gt;&lt;&sol;p&gt;",04/02/2026
33370,58,1,"&lt;p&gt;The appearance of a code in this section does not necessarily indicate coverage.&lt;br &sol;&gt;&lt;br &sol;&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS MODIFIERS:&lt;br &sol;&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;EY - No physician or other licensed health care provider order for this item or service&lt;&sol;p&gt;
&lt;p&gt;GA - Waiver of liability statement issued as required by payer policy, individual case&lt;&sol;p&gt;
&lt;p&gt;GZ - Item or service expected to be denied as not reasonable and necessary&lt;&sol;p&gt;
&lt;p&gt;JW - Drug amount discarded&sol;not administered to any patient&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 107%;&quot;&gt;JZ - &lt;&sol;span&gt;&lt;span style=&quot;line-height: 107%;&quot;&gt;Zero drug amount discarded&sol;not administered to any patient&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;KO - Single drug unit dose formulation&lt;&sol;p&gt;
&lt;p&gt;KP - First drug of a multiple drug unit dose formulation&lt;&sol;p&gt;
&lt;p&gt;KQ - Second or subsequent drug of a multiple drug unit dose formulation&lt;&sol;p&gt;
&lt;p&gt;KX - Requirements specified in the medical policy have been met&lt;&sol;p&gt;
&lt;p&gt;&amp;nbsp;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;HCPCS CODES:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&amp;nbsp;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;EQUIPMENT&lt;&sol;strong&gt;&lt;&sol;p&gt;",02/12/2026
33370,58,2,&lt;p&gt;&lt;strong&gt;ACCESSORIES&lt;&sol;strong&gt;&lt;&sol;p&gt;,02/12/2026
