article_id,article_version,bill_code_id,bill_code_version,description,last_updated,source_article_id
57414,30,999,7,Not Applicable,09/26/2025,57414
57424,14,0,7,TBD,01/22/2026,57424
57361,46,999,7,Not Applicable,01/23/2026,57361
57372,18,999,7,Not Applicable,01/26/2026,57372
57364,14,999,7,Not Applicable,01/22/2026,57364
57363,14,999,7,Not Applicable,01/12/2026,57363
57432,12,022,7,Skilled Nursing - Inpatient (Medicare Part B only),01/12/2026,57432
57449,24,999,7,Not Applicable,09/26/2025,57449
57433,14,022,7,Skilled Nursing - Inpatient (Medicare Part B only),03/09/2026,57433
57434,35,012,7,Hospital Inpatient (Medicare Part B only),09/26/2025,57434
57434,35,013,7,Hospital Outpatient,09/26/2025,57434
57434,35,018,7,Hospital - Swing Beds,09/26/2025,57434
57434,35,021,7,Skilled Nursing - Inpatient (Including Medicare Part A),09/26/2025,57434
57434,35,022,7,Skilled Nursing - Inpatient (Medicare Part B only),09/26/2025,57434
57434,35,023,7,Skilled Nursing - Outpatient,09/26/2025,57434
57434,35,028,7,Skilled Nursing - Swing Beds,09/26/2025,57434
57434,35,073,7,Clinic - Freestanding,09/26/2025,57434
57434,35,077,7,Clinic - Federally Qualified Health Center (FQHC),09/26/2025,57434
57434,35,085,7,Critical Access Hospital,09/26/2025,57434
57450,14,999,7,Not Applicable,09/26/2025,57450
57451,38,999,7,Not Applicable,01/19/2024,57451
57478,40,012,7,Hospital Inpatient (Medicare Part B only),09/16/2025,57478
57478,40,013,7,Hospital Outpatient,09/16/2025,57478
57478,40,021,7,Skilled Nursing - Inpatient (Including Medicare Part A),09/16/2025,57478
57478,40,022,7,Skilled Nursing - Inpatient (Medicare Part B only),09/16/2025,57478
57478,40,023,7,Skilled Nursing - Outpatient,09/16/2025,57478
57478,40,071,7,Clinic - Rural Health,09/16/2025,57478
57478,40,085,7,Critical Access Hospital,09/16/2025,57478
57477,15,011,7,Hospital Inpatient (Including Medicare Part A),07/24/2026,57477
57477,15,013,7,Hospital Outpatient,07/24/2026,57477
57477,15,071,7,Clinic - Rural Health,07/24/2026,57477
57477,15,073,7,Clinic - Freestanding,07/24/2026,57477
57477,15,085,7,Critical Access Hospital,07/24/2026,57477
57484,22,999,7,Not Applicable,02/11/2026,57484
57496,14,999,7,Not Applicable,05/10/2024,57496
57497,15,999,7,Not Applicable,10/27/2025,57497
57512,19,999,7,Not Applicable,09/04/2025,57512
57487,10,999,7,Not Applicable,02/05/2026,57487
57513,16,999,7,Not Applicable,09/11/2025,57513
57520,43,999,7,Not Applicable,01/24/2025,57520
57498,14,999,7,Not Applicable,11/06/2025,57498
57540,15,999,7,Not Applicable,09/26/2025,57540
57531,60,999,7,Not Applicable,11/26/2025,57531
57423,16,0,7,TBD,01/12/2026,57423
57593,17,999,7,Not Applicable,09/18/2025,57593
57594,22,999,7,Not Applicable,12/23/2025,57594
57600,34,999,7,Not Applicable,09/26/2025,57600
57607,15,999,7,Not Applicable,01/12/2026,57607
57608,16,999,7,Not Applicable,01/22/2026,57608
57611,16,0,7,TBD,09/09/2025,57611
57614,15,0,7,TBD,09/09/2025,57614
57618,24,999,7,Not Applicable,01/24/2025,57618
57636,24,999,7,Not Applicable,09/26/2025,57636
57622,17,999,7,Not Applicable,03/09/2026,57622
57633,8,999,7,Not Applicable,01/24/2025,57633
57637,20,999,7,Not Applicable,09/26/2025,57637
57643,20,012,7,Hospital Inpatient (Medicare Part B only),09/04/2025,57643
57643,20,013,7,Hospital Outpatient,09/04/2025,57643
57643,20,014,7,Hospital - Laboratory Services Provided to Non-patients,09/04/2025,57643
57643,20,022,7,Skilled Nursing - Inpatient (Medicare Part B only),09/04/2025,57643
57643,20,023,7,Skilled Nursing - Outpatient,09/04/2025,57643
57643,20,071,7,Clinic - Rural Health,09/04/2025,57643
57643,20,072,7,Clinic - Hospital Based or Independent Renal Dialysis Center,09/04/2025,57643
57643,20,075,7,Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF),09/04/2025,57643
57643,20,077,7,Clinic - Federally Qualified Health Center (FQHC),09/04/2025,57643
57643,20,085,7,Critical Access Hospital,09/04/2025,57643
57644,17,012,7,Hospital Inpatient (Medicare Part B only),09/11/2025,57644
57644,17,013,7,Hospital Outpatient,09/11/2025,57644
57644,17,014,7,Hospital - Laboratory Services Provided to Non-patients,09/11/2025,57644
57644,17,022,7,Skilled Nursing - Inpatient (Medicare Part B only),09/11/2025,57644
57644,17,023,7,Skilled Nursing - Outpatient,09/11/2025,57644
57644,17,071,7,Clinic - Rural Health,09/11/2025,57644
57644,17,072,7,Clinic - Hospital Based or Independent Renal Dialysis Center,09/11/2025,57644
57644,17,075,7,Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF),09/11/2025,57644
57644,17,077,7,Clinic - Federally Qualified Health Center (FQHC),09/11/2025,57644
57644,17,085,7,Critical Access Hospital,09/11/2025,57644
57647,17,999,7,Not Applicable,07/07/2023,57647
57649,9,999,7,Not Applicable,10/20/2023,57649
57651,5,999,6,Not Applicable,11/21/2019,57651
57660,6,999,6,Not Applicable,11/22/2019,57660
57657,25,999,7,Not Applicable,10/18/2024,57657
57667,10,999,6,Not Applicable,09/25/2020,57667
57666,36,999,7,Not Applicable,01/23/2026,57666
57669,10,999,7,Not Applicable,09/26/2025,57669
57672,6,999,6,Not Applicable,11/22/2019,57672
57670,8,999,7,Not Applicable,02/06/2026,57670
57677,14,999,7,Not Applicable,10/18/2024,57677
57678,11,999,7,Not Applicable,09/26/2025,57678
57680,9,999,7,Not Applicable,01/23/2026,57680
57682,6,999,6,Not Applicable,09/25/2020,57682
57683,11,999,7,Not Applicable,10/27/2025,57683
57686,12,999,7,Not Applicable,11/06/2025,57686
57689,44,999,7,Not Applicable,10/27/2025,57689
57685,15,999,7,Not Applicable,12/22/2025,57685
57684,11,999,7,Not Applicable,11/20/2025,57684
57690,39,999,7,Not Applicable,11/06/2025,57690
57697,16,999,7,Not Applicable,09/04/2025,57697
57701,30,012,7,Hospital Inpatient (Medicare Part B only),12/22/2025,57701
57701,30,013,7,Hospital Outpatient,12/22/2025,57701
57701,30,071,7,Clinic - Rural Health,12/22/2025,57701
57701,30,073,7,Clinic - Freestanding,12/22/2025,57701
57701,30,085,7,Critical Access Hospital,12/22/2025,57701
57698,14,999,7,Not Applicable,09/11/2025,57698
57706,14,011,7,Hospital Inpatient (Including Medicare Part A),10/06/2025,57706
57706,14,012,7,Hospital Inpatient (Medicare Part B only),10/06/2025,57706
57706,14,013,7,Hospital Outpatient,10/06/2025,57706
57706,14,071,7,Clinic - Rural Health,10/06/2025,57706
57706,14,077,7,Clinic - Federally Qualified Health Center (FQHC),10/06/2025,57706
57706,14,085,7,Critical Access Hospital,10/06/2025,57706
57706,14,999,7,Not Applicable,10/06/2025,57706
57702,23,012,7,Hospital Inpatient (Medicare Part B only),10/23/2025,57702
57702,23,013,7,Hospital Outpatient,10/23/2025,57702
57702,23,071,7,Clinic - Rural Health,10/23/2025,57702
57702,23,073,7,Clinic - Freestanding,10/23/2025,57702
57702,23,085,7,Critical Access Hospital,10/23/2025,57702
57707,14,011,7,Hospital Inpatient (Including Medicare Part A),10/16/2025,57707
57707,14,012,7,Hospital Inpatient (Medicare Part B only),10/16/2025,57707
57707,14,013,7,Hospital Outpatient,10/16/2025,57707
57707,14,071,7,Clinic - Rural Health,10/16/2025,57707
57707,14,077,7,Clinic - Federally Qualified Health Center (FQHC),10/16/2025,57707
57707,14,085,7,Critical Access Hospital,10/16/2025,57707
57707,14,999,7,Not Applicable,10/16/2025,57707
57715,55,999,7,Not Applicable,12/05/2025,57715
57718,20,012,7,Hospital Inpatient (Medicare Part B only),08/06/2025,57718
57718,20,013,7,Hospital Outpatient,08/06/2025,57718
57718,20,022,7,Skilled Nursing - Inpatient (Medicare Part B only),08/06/2025,57718
57718,20,023,7,Skilled Nursing - Outpatient,08/06/2025,57718
57718,20,085,7,Critical Access Hospital,08/06/2025,57718
57718,20,999,7,Not Applicable,08/06/2025,57718
57621,17,999,7,Not Applicable,01/12/2026,57621
57638,7,999,7,Not Applicable,01/19/2024,57638
57726,7,999,7,Not Applicable,10/13/2023,57726
57719,21,012,7,Hospital Inpatient (Medicare Part B only),08/14/2025,57719
57719,21,013,7,Hospital Outpatient,08/14/2025,57719
57719,21,022,7,Skilled Nursing - Inpatient (Medicare Part B only),08/14/2025,57719
57719,21,023,7,Skilled Nursing - Outpatient,08/14/2025,57719
57719,21,085,7,Critical Access Hospital,08/14/2025,57719
57719,21,999,7,Not Applicable,08/14/2025,57719
57752,18,999,7,Not Applicable,02/11/2022,57752
57751,28,999,7,Not Applicable,07/17/2026,57751
57755,18,999,7,Not Applicable,03/27/2024,57755
57753,12,012,7,Hospital Inpatient (Medicare Part B only),01/14/2022,57753
57753,12,013,7,Hospital Outpatient,01/14/2022,57753
57753,12,071,7,Clinic - Rural Health,01/14/2022,57753
57753,12,073,7,Clinic - Freestanding,01/14/2022,57753
57753,12,077,7,Clinic - Federally Qualified Health Center (FQHC),01/14/2022,57753
57753,12,083,7,Ambulatory Surgery Center,01/14/2022,57753
57753,12,085,7,Critical Access Hospital,01/14/2022,57753
57765,26,999,7,Not Applicable,06/18/2026,57765
57767,12,999,7,Not Applicable,03/01/2024,57767
57778,59,999,7,Not Applicable,07/10/2026,57778
57779,8,999,7,Not Applicable,01/24/2025,57779
57780,27,999,7,Not Applicable,09/26/2025,57780
57787,47,999,7,Not Applicable,04/02/2026,57787
57791,12,999,7,Not Applicable,10/06/2025,57791
57792,12,999,7,Not Applicable,10/16/2025,57792
57802,16,999,7,Not Applicable,12/18/2025,57802
57807,124,999,7,Not Applicable,10/30/2025,57807
57804,41,999,7,Not Applicable,09/26/2025,57804
57788,41,999,7,Not Applicable,12/12/2025,57788
57826,37,012,7,Hospital Inpatient (Medicare Part B only),07/14/2026,57826
57826,37,013,7,Hospital Outpatient,07/14/2026,57826
57826,37,071,7,Clinic - Rural Health,07/14/2026,57826
57826,37,073,7,Clinic - Freestanding,07/14/2026,57826
57826,37,085,7,Critical Access Hospital,07/14/2026,57826
57839,14,999,7,Not Applicable,04/04/2025,57839
57842,11,023,7,Skilled Nursing - Outpatient,02/09/2026,57842
57843,12,023,7,Skilled Nursing - Outpatient,02/27/2026,57843
57863,41,013,7,Hospital Outpatient,06/04/2026,57863
57863,41,085,7,Critical Access Hospital,06/04/2026,57863
57864,36,013,7,Hospital Outpatient,10/23/2025,57864
57864,36,085,7,Critical Access Hospital,10/23/2025,57864
57872,10,999,7,Not Applicable,02/11/2022,57872
57884,10,999,7,Not Applicable,04/04/2025,57884
57891,39,999,7,Not Applicable,05/05/2026,57891
57892,37,0,7,TBD,02/05/2026,57892
57913,11,999,7,Not Applicable,09/16/2025,57913
57914,9,999,7,Not Applicable,09/25/2025,57914
57948,38,999,7,Not Applicable,06/09/2026,57948
57949,21,999,7,Not Applicable,10/16/2025,57949
57957,53,013,7,Hospital Outpatient,11/06/2025,57957
57957,53,071,7,Clinic - Rural Health,11/06/2025,57957
57957,53,077,7,Clinic - Federally Qualified Health Center (FQHC),11/06/2025,57957
57957,53,085,7,Critical Access Hospital,11/06/2025,57957
57954,73,013,7,Hospital Outpatient,11/10/2025,57954
57954,73,071,7,Clinic - Rural Health,11/10/2025,57954
57954,73,077,7,Clinic - Federally Qualified Health Center (FQHC),11/10/2025,57954
57954,73,085,7,Critical Access Hospital,11/10/2025,57954
58116,29,999,7,Not Applicable,07/14/2026,58116
58110,22,999,7,Not Applicable,04/11/2025,58110
58127,19,999,7,Not Applicable,09/30/2025,58127
58136,22,999,7,Not Applicable,04/11/2025,58136
58133,23,999,7,Not Applicable,10/14/2025,58133
58138,20,999,7,Not Applicable,10/23/2025,58138
58181,24,999,7,Not Applicable,01/26/2026,58181
58187,25,999,7,Not Applicable,02/05/2026,58187
58216,5,999,6,Not Applicable,12/11/2025,58216
58229,18,999,7,Not Applicable,03/05/2026,58229
58232,4,999,6,Not Applicable,12/11/2025,58232
58227,20,999,7,Not Applicable,02/23/2026,58227
58243,7,999,7,Not Applicable,01/23/2026,58243
58264,8,999,7,Not Applicable,01/23/2026,58264
58250,19,999,7,Not Applicable,01/23/2026,58250
58345,13,999,6,Not Applicable,11/13/2025,58345
58350,24,012,7,Hospital Inpatient (Medicare Part B only),05/15/2026,58350
58350,24,013,7,Hospital Outpatient,05/15/2026,58350
58350,24,071,7,Clinic - Rural Health,05/15/2026,58350
58350,24,073,7,Clinic - Freestanding,05/15/2026,58350
58350,24,085,7,Critical Access Hospital,05/15/2026,58350
58364,39,012,7,Hospital Inpatient (Medicare Part B only),07/17/2026,58364
58364,39,013,7,Hospital Outpatient,07/17/2026,58364
58364,39,071,7,Clinic - Rural Health,07/17/2026,58364
58364,39,073,7,Clinic - Freestanding,07/17/2026,58364
58364,39,085,7,Critical Access Hospital,07/17/2026,58364
58362,10,013,7,Hospital Outpatient,11/08/2023,58362
58403,27,012,7,Hospital Inpatient (Medicare Part B only),05/12/2026,58403
58403,27,013,7,Hospital Outpatient,05/12/2026,58403
58403,27,071,7,Clinic - Rural Health,05/12/2026,58403
58403,27,073,7,Clinic - Freestanding,05/12/2026,58403
58403,27,085,7,Critical Access Hospital,05/12/2026,58403
58405,22,012,7,Hospital Inpatient (Medicare Part B only),04/16/2026,58405
58405,22,013,7,Hospital Outpatient,04/16/2026,58405
58405,22,071,7,Clinic - Rural Health,04/16/2026,58405
58405,22,073,7,Clinic - Freestanding,04/16/2026,58405
58405,22,085,7,Critical Access Hospital,04/16/2026,58405
58410,9,999,7,Not Applicable,01/14/2022,58410
58412,5,999,6,Not Applicable,11/13/2025,58412
58414,11,999,7,Not Applicable,01/14/2022,58414
58423,48,999,7,Not Applicable,12/05/2025,58423
58428,29,999,7,Not Applicable,04/02/2026,58428
58436,13,999,7,Not Applicable,09/04/2025,58436
58438,11,999,7,Not Applicable,09/11/2025,58438
58477,22,012,7,Hospital Inpatient (Medicare Part B only),05/21/2026,58477
58477,22,013,7,Hospital Outpatient,05/21/2026,58477
58477,22,071,7,Clinic - Rural Health,05/21/2026,58477
58477,22,073,7,Clinic - Freestanding,05/21/2026,58477
58477,22,085,7,Critical Access Hospital,05/21/2026,58477
58541,14,999,7,Not Applicable,12/25/2025,58541
58543,13,999,7,Not Applicable,12/25/2025,58543
58565,52,012,7,Hospital Inpatient (Medicare Part B only),08/04/2026,58565
58565,52,013,7,Hospital Outpatient,08/04/2026,58565
58565,52,018,7,Hospital - Swing Beds,08/04/2026,58565
58565,52,022,7,Skilled Nursing - Inpatient (Medicare Part B only),08/04/2026,58565
58565,52,023,7,Skilled Nursing - Outpatient,08/04/2026,58565
58565,52,071,7,Clinic - Rural Health,08/04/2026,58565
58565,52,073,7,Clinic - Freestanding,08/04/2026,58565
58565,52,074,7,Clinic - Outpatient Rehabilitation Facility (ORF),08/04/2026,58565
58565,52,075,7,Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF),08/04/2026,58565
58565,52,077,7,Clinic - Federally Qualified Health Center (FQHC),08/04/2026,58565
58565,52,083,7,Ambulatory Surgery Center,08/04/2026,58565
58565,52,085,7,Critical Access Hospital,08/04/2026,58565
58567,29,012,7,Hospital Inpatient (Medicare Part B only),09/11/2025,58567
58567,29,013,7,Hospital Outpatient,09/11/2025,58567
58567,29,018,7,Hospital - Swing Beds,09/11/2025,58567
58567,29,022,7,Skilled Nursing - Inpatient (Medicare Part B only),09/11/2025,58567
58567,29,023,7,Skilled Nursing - Outpatient,09/11/2025,58567
58567,29,071,7,Clinic - Rural Health,09/11/2025,58567
58567,29,073,7,Clinic - Freestanding,09/11/2025,58567
58567,29,074,7,Clinic - Outpatient Rehabilitation Facility (ORF),09/11/2025,58567
58567,29,075,7,Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF),09/11/2025,58567
58567,29,077,7,Clinic - Federally Qualified Health Center (FQHC),09/11/2025,58567
58567,29,083,7,Ambulatory Surgery Center,09/11/2025,58567
58567,29,085,7,Critical Access Hospital,09/11/2025,58567
58573,13,999,7,Not Applicable,02/06/2026,58573
58575,38,999,7,Not Applicable,01/23/2026,58575
58577,33,999,7,Not Applicable,01/23/2026,58577
58579,10,012,7,Hospital Inpatient (Medicare Part B only),10/02/2025,58579
58579,10,013,7,Hospital Outpatient,10/02/2025,58579
58579,10,083,7,Ambulatory Surgery Center,10/02/2025,58579
58579,10,085,7,Critical Access Hospital,10/02/2025,58579
58582,20,0,7,TBD,07/27/2026,58582
58578,12,012,7,Hospital Inpatient (Medicare Part B only),03/09/2026,58578
58578,12,013,7,Hospital Outpatient,03/09/2026,58578
58578,12,083,7,Ambulatory Surgery Center,03/09/2026,58578
58578,12,085,7,Critical Access Hospital,03/09/2026,58578
58592,19,999,7,Not Applicable,09/26/2025,58592
58801,85,999,7,Not Applicable,07/10/2026,58801
58812,81,999,7,Not Applicable,07/10/2026,58812
58867,23,999,7,Not Applicable,10/23/2025,58867
58865,24,999,7,Not Applicable,10/14/2025,58865
58893,19,999,7,Not Applicable,07/14/2026,58893
58918,90,999,7,Not Applicable,07/10/2026,58918
59049,16,012,7,Hospital Inpatient (Medicare Part B only),11/22/2023,59049
59049,16,013,7,Hospital Outpatient,11/22/2023,59049
59049,16,018,7,Hospital - Swing Beds,11/22/2023,59049
59049,16,083,7,Ambulatory Surgery Center,11/22/2023,59049
59049,16,085,7,Critical Access Hospital,11/22/2023,59049
