article_id,article_version,last_updated,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
58679,38,06/16/2022,,,364,38972,9,1,/data/lcd?lcdid=38972&ver=9
60523,3,08/06/2026,,,507,40330,6,1,/data/lcd?lcdid=40330&ver=6
60377,5,08/06/2026,,,507,40330,6,1,/data/lcd?lcdid=40330&ver=6
60513,3,08/06/2026,,,391,40328,5,1,/data/lcd?lcdid=40328&ver=5
60375,5,08/06/2026,,,391,40328,5,1,/data/lcd?lcdid=40328&ver=5
60391,4,08/06/2026,,,143,40341,6,1,/data/lcd?lcdid=40341&ver=6
60391,4,08/06/2026,60390,3,143,,,2,/data/article?articleid=60390&ver=3
60524,3,08/06/2026,,,143,40341,6,1,/data/lcd?lcdid=40341&ver=6
60510,4,08/05/2026,,,364,40324,6,1,/data/lcd?lcdid=40324&ver=6
60361,7,08/05/2026,,,364,40324,6,1,/data/lcd?lcdid=40324&ver=6
58323,13,01/15/2021,,,228,37790,21,1,/data/lcd?lcdid=37790&ver=21
58565,52,10/07/2021,58903,6,364,,,1,/data/article?articleid=58903&ver=6
58565,52,10/07/2021,,,364,38901,12,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38901:11
58565,52,10/07/2021,,,364,38902,12,3,/data/lcd?lcdid=38902&ver=12
57917,32,06/12/2020,,,228,38065,12,1,/data/lcd?lcdid=38065&ver=12
56690,18,04/10/2024,,,391,37761,23,1,/data/lcd?lcdid=37761&ver=23
57435,27,01/08/2026,,,297,37421,37,1,/data/lcd?lcdid=37421&ver=37
59702,4,04/10/2024,,,391,37761,23,1,/data/lcd?lcdid=37761&ver=23
60155,6,07/08/2026,,,358,40061,7,1,/data/lcd?lcdid=40061&ver=7
60155,6,07/08/2026,,,358,40062,6,2,/data/lcd?lcdid=40062&ver=6
60152,8,07/07/2026,60151,6,360,,,1,/data/article?articleid=60151&ver=6
60152,8,07/07/2026,,,360,40059,8,2,/data/lcd?lcdid=40059&ver=8
60152,8,07/08/2026,,,365,40060,6,3,/data/lcd?lcdid=40060&ver=6
52370,135,05/22/2025,,,297,33394,55,1,/data/lcd?lcdid=33394&ver=55
57326,42,01/17/2018,,,364,37268,9,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=37268:8
57326,42,09/23/2019,,,364,34315,41,2,/data/lcd?lcdid=34315&ver=41
58756,26,05/03/2022,58755,3,143,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=58755:2
