article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
58679,38,04/29/2025,372,1,1,58679,/data/ncd?ncdid=372&ncdver=1
57435,27,12/18/2025,0,1,1,57435,/data/ncd?ncdid=0&ncdver=1
60523,3,08/06/2026,0,1,1,60523,/data/ncd?ncdid=0&ncdver=1
57886,3,04/29/2025,0,1,1,57886,/data/ncd?ncdid=0&ncdver=1
59702,4,04/29/2025,0,1,1,59702,/data/ncd?ncdid=0&ncdver=1
52370,135,04/29/2025,0,1,1,52370,/data/ncd?ncdid=0&ncdver=1
60361,7,08/05/2026,0,1,1,60361,/data/ncd?ncdid=0&ncdver=1
60155,6,05/08/2026,112,3,1,60155,/data/ncd?ncdid=112&ncdver=3
60391,4,08/06/2026,0,1,1,60391,/data/ncd?ncdid=0&ncdver=1
60510,4,08/05/2026,0,1,1,60510,/data/ncd?ncdid=0&ncdver=1
60152,8,05/08/2026,112,3,1,60152,/data/ncd?ncdid=112&ncdver=3
57326,42,04/29/2025,0,1,1,57326,/data/ncd?ncdid=0&ncdver=1
60513,3,08/06/2026,0,1,1,60513,/data/ncd?ncdid=0&ncdver=1
58323,13,04/29/2025,0,1,1,58323,/data/ncd?ncdid=0&ncdver=1
56690,18,04/29/2025,0,1,1,56690,/data/ncd?ncdid=0&ncdver=1
60375,5,08/06/2026,0,1,1,60375,/data/ncd?ncdid=0&ncdver=1
60524,3,08/06/2026,0,1,1,60524,/data/ncd?ncdid=0&ncdver=1
60377,5,08/06/2026,0,1,1,60377,/data/ncd?ncdid=0&ncdver=1
57917,32,05/02/2025,372,2,1,57917,/data/ncd?ncdid=372&ncdver=2
58756,26,04/29/2025,372,1,1,58756,/data/ncd?ncdid=372&ncdver=1
58559,42,04/29/2025,0,1,1,58559,/data/ncd?ncdid=0&ncdver=1
58652,29,04/29/2025,372,1,1,58652,/data/ncd?ncdid=372&ncdver=1
58468,41,04/30/2025,372,2,1,58468,/data/ncd?ncdid=372&ncdver=2
58761,70,04/29/2025,53,1,1,58761,/data/ncd?ncdid=53&ncdver=1
58761,70,04/29/2025,352,1,2,58761,/data/ncd?ncdid=352&ncdver=1
58761,70,04/29/2025,361,1,3,58761,/data/ncd?ncdid=361&ncdver=1
58761,70,04/29/2025,365,1,4,58761,/data/ncd?ncdid=365&ncdver=1
58761,70,04/29/2025,369,1,5,58761,/data/ncd?ncdid=369&ncdver=1
58761,70,04/29/2025,335,1,6,58761,/data/ncd?ncdid=335&ncdver=1
52830,9,04/29/2025,0,1,1,52830,/data/ncd?ncdid=0&ncdver=1
59416,14,04/29/2025,29,1,1,59416,/data/ncd?ncdid=29&ncdver=1
59416,14,04/29/2025,28,1,2,59416,/data/ncd?ncdid=28&ncdver=1
52470,19,04/29/2025,0,1,1,52470,/data/ncd?ncdid=0&ncdver=1
56798,29,04/29/2025,0,1,1,56798,/data/ncd?ncdid=0&ncdver=1
58454,50,04/29/2025,372,1,1,58454,/data/ncd?ncdid=372&ncdver=1
56083,14,04/29/2025,0,1,1,56083,/data/ncd?ncdid=0&ncdver=1
57040,26,04/29/2025,237,1,1,57040,/data/ncd?ncdid=237&ncdver=1
57040,26,04/29/2025,89,1,2,57040,/data/ncd?ncdid=89&ncdver=1
57193,31,04/29/2025,171,1,1,57193,/data/ncd?ncdid=171&ncdver=1
56692,19,04/29/2025,0,1,1,56692,/data/ncd?ncdid=0&ncdver=1
57044,22,04/29/2025,0,1,1,57044,/data/ncd?ncdid=0&ncdver=1
59807,8,04/29/2025,9,1,1,59807,/data/ncd?ncdid=9&ncdver=1
59807,8,04/29/2025,239,1,2,59807,/data/ncd?ncdid=239&ncdver=1
58582,20,04/29/2025,0,1,1,58582,/data/ncd?ncdid=0&ncdver=1
57311,35,04/29/2025,41,1,1,57311,/data/ncd?ncdid=41&ncdver=1
57311,35,04/29/2025,58,1,2,57311,/data/ncd?ncdid=58&ncdver=1
57311,35,04/29/2025,240,1,3,57311,/data/ncd?ncdid=240&ncdver=1
57311,35,04/29/2025,249,1,4,57311,/data/ncd?ncdid=249&ncdver=1
57311,35,04/29/2025,88,1,5,57311,/data/ncd?ncdid=88&ncdver=1
57311,35,04/29/2025,131,1,6,57311,/data/ncd?ncdid=131&ncdver=1
57311,35,04/29/2025,232,1,7,57311,/data/ncd?ncdid=232&ncdver=1
57311,35,04/29/2025,217,1,8,57311,/data/ncd?ncdid=217&ncdver=1
57311,35,04/29/2025,47,1,9,57311,/data/ncd?ncdid=47&ncdver=1
57311,35,04/29/2025,139,1,10,57311,/data/ncd?ncdid=139&ncdver=1
57311,35,04/29/2025,315,1,11,57311,/data/ncd?ncdid=315&ncdver=1
57311,35,04/29/2025,219,1,12,57311,/data/ncd?ncdid=219&ncdver=1
52451,89,04/29/2025,0,1,1,52451,/data/ncd?ncdid=0&ncdver=1
56926,17,04/29/2025,0,1,1,56926,/data/ncd?ncdid=0&ncdver=1
57043,24,04/29/2025,0,1,1,57043,/data/ncd?ncdid=0&ncdver=1
57554,52,04/30/2025,158,1,1,57554,/data/ncd?ncdid=158&ncdver=1
58318,65,04/29/2025,333,1,1,58318,/data/ncd?ncdid=333&ncdver=1
57384,53,04/29/2025,333,1,1,57384,/data/ncd?ncdid=333&ncdver=1
57331,61,04/29/2025,0,1,1,57331,/data/ncd?ncdid=0&ncdver=1
58565,52,04/29/2025,131,1,1,58565,/data/ncd?ncdid=131&ncdver=1
58565,52,04/29/2025,232,1,2,58565,/data/ncd?ncdid=232&ncdver=1
58565,52,04/29/2025,217,1,3,58565,/data/ncd?ncdid=217&ncdver=1
58565,52,04/29/2025,47,1,4,58565,/data/ncd?ncdid=47&ncdver=1
58565,52,04/29/2025,139,1,5,58565,/data/ncd?ncdid=139&ncdver=1
58565,52,04/29/2025,315,1,6,58565,/data/ncd?ncdid=315&ncdver=1
58734,20,04/29/2025,372,1,1,58734,/data/ncd?ncdid=372&ncdver=1
58017,55,04/29/2025,0,1,1,58017,/data/ncd?ncdid=0&ncdver=1
58720,90,04/29/2025,53,1,1,58720,/data/ncd?ncdid=53&ncdver=1
58720,90,04/29/2025,352,1,2,58720,/data/ncd?ncdid=352&ncdver=1
58720,90,04/29/2025,361,1,3,58720,/data/ncd?ncdid=361&ncdver=1
58720,90,04/29/2025,365,1,4,58720,/data/ncd?ncdid=365&ncdver=1
58720,90,04/29/2025,369,1,5,58720,/data/ncd?ncdid=369&ncdver=1
58720,90,04/29/2025,335,1,6,58720,/data/ncd?ncdid=335&ncdver=1
57482,25,04/29/2025,129,1,1,57482,/data/ncd?ncdid=129&ncdver=1
58376,67,04/29/2025,372,1,1,58376,/data/ncd?ncdid=372&ncdver=1
57477,15,04/29/2025,0,1,1,57477,/data/ncd?ncdid=0&ncdver=1
58710,92,04/29/2025,53,1,1,58710,/data/ncd?ncdid=53&ncdver=1
58710,92,04/29/2025,352,1,2,58710,/data/ncd?ncdid=352&ncdver=1
58710,92,04/29/2025,361,1,3,58710,/data/ncd?ncdid=361&ncdver=1
58710,92,04/29/2025,365,1,4,58710,/data/ncd?ncdid=365&ncdver=1
58710,92,04/29/2025,369,1,5,58710,/data/ncd?ncdid=369&ncdver=1
58710,92,04/29/2025,335,1,6,58710,/data/ncd?ncdid=335&ncdver=1
59646,19,04/29/2025,0,1,1,59646,/data/ncd?ncdid=0&ncdver=1
59805,20,04/30/2025,60,1,1,59805,/data/ncd?ncdid=60&ncdver=1
