article_id,article_version,icd10_code_id,icd10_code_version,icd10_noncovered_group,range,sort_order,description,last_updated
60155,6,N17.0,17,1,N,24960,Acute kidney failure with tubular necrosis,07/31/2026
60155,6,N17.1,17,1,N,24961,Acute kidney failure with acute cortical necrosis,07/31/2026
60155,6,N17.2,17,1,N,24962,Acute kidney failure with medullary necrosis,07/31/2026
60155,6,N17.8,17,1,N,24963,Other acute kidney failure,07/31/2026
60155,6,N17.9,17,1,N,24964,"Acute kidney failure, unspecified",07/31/2026
60152,8,N17.0,17,1,N,24960,Acute kidney failure with tubular necrosis,07/31/2026
60152,8,N17.1,17,1,N,24961,Acute kidney failure with acute cortical necrosis,07/31/2026
60152,8,N17.2,17,1,N,24962,Acute kidney failure with medullary necrosis,07/31/2026
60152,8,N17.8,17,1,N,24963,Other acute kidney failure,07/31/2026
60152,8,N17.9,17,1,N,24964,"Acute kidney failure, unspecified",07/31/2026
57482,25,Z41.1,17,1,N,96922,Encounter for cosmetic surgery,07/24/2026
58741,18,XX000,16,1,N,97585,Not Applicable,07/24/2025
60274,4,N17.0,17,1,N,24960,Acute kidney failure with tubular necrosis,07/20/2026
60274,4,N17.1,17,1,N,24961,Acute kidney failure with acute cortical necrosis,07/20/2026
60274,4,N17.2,17,1,N,24962,Acute kidney failure with medullary necrosis,07/20/2026
60274,4,N17.8,17,1,N,24963,Other acute kidney failure,07/20/2026
60274,4,N17.9,17,1,N,24964,"Acute kidney failure, unspecified",07/20/2026
57114,21,XX000,17,1,N,98187,Not Applicable,07/17/2026
57751,28,XX000,17,1,N,98187,Not Applicable,07/17/2026
56199,130,Z13.71,17,1,N,96526,Encounter for nonprocreative screening for genetic disease carrier status,05/21/2026
56199,130,Z13.79,17,1,N,96527,Encounter for other screening for genetic and chromosomal anomalies,05/21/2026
56199,130,Z31.430,17,1,N,96751,Encounter of female for testing for genetic disease carrier status for procreative management,05/21/2026
56199,130,Z31.438,17,1,N,96752,Encounter for other genetic testing of female for procreative management,05/21/2026
56199,130,Z31.440,17,1,N,96754,Encounter of male for testing for genetic disease carrier status for procreative management,05/21/2026
56199,130,Z31.441,17,1,N,96755,Encounter for testing of male partner of patient with recurrent pregnancy loss,05/21/2026
56199,130,Z31.448,17,1,N,96756,Encounter for other genetic testing of male for procreative management,05/21/2026
56199,130,Z31.5,17,1,N,96758,Encounter for procreative genetic counseling,05/21/2026
56199,130,Z36.0,17,1,N,96799,Encounter for antenatal screening for chromosomal anomalies,05/21/2026
59060,4,Z30.2,11,1,N,94191,Encounter for sterilization,04/07/2022
52434,51,F01.50,16,1,N,5124,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F01.511,16,1,N,5126,"Vascular dementia, unspecified severity, with agitation",09/20/2024
52434,51,F01.518,16,1,N,5127,"Vascular dementia, unspecified severity, with other behavioral disturbance",09/20/2024
52434,51,F01.52,16,1,N,5128,"Vascular dementia, unspecified severity, with psychotic disturbance",09/20/2024
52434,51,F01.53,16,1,N,5129,"Vascular dementia, unspecified severity, with mood disturbance",09/20/2024
52434,51,F01.54,16,1,N,5130,"Vascular dementia, unspecified severity, with anxiety",09/20/2024
52434,51,F01.A0,16,1,N,5132,"Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F01.A11,16,1,N,5134,"Vascular dementia, mild, with agitation",09/20/2024
52434,51,F01.A18,16,1,N,5135,"Vascular dementia, mild, with other behavioral disturbance",09/20/2024
52434,51,F01.A2,16,1,N,5136,"Vascular dementia, mild, with psychotic disturbance",09/20/2024
52434,51,F01.A3,16,1,N,5137,"Vascular dementia, mild, with mood disturbance",09/20/2024
52434,51,F01.A4,16,1,N,5138,"Vascular dementia, mild, with anxiety",09/20/2024
52434,51,F01.B0,16,1,N,5140,"Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F01.B11,16,1,N,5142,"Vascular dementia, moderate, with agitation",09/20/2024
52434,51,F01.B18,16,1,N,5143,"Vascular dementia, moderate, with other behavioral disturbance",09/20/2024
52434,51,F01.B2,16,1,N,5144,"Vascular dementia, moderate, with psychotic disturbance",09/20/2024
52434,51,F01.B3,16,1,N,5145,"Vascular dementia, moderate, with mood disturbance",09/20/2024
52434,51,F01.B4,16,1,N,5146,"Vascular dementia, moderate, with anxiety",09/20/2024
52434,51,F01.C0,16,1,N,5148,"Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F01.C11,16,1,N,5150,"Vascular dementia, severe, with agitation",09/20/2024
52434,51,F01.C18,16,1,N,5151,"Vascular dementia, severe, with other behavioral disturbance",09/20/2024
52434,51,F01.C2,16,1,N,5152,"Vascular dementia, severe, with psychotic disturbance",09/20/2024
52434,51,F01.C3,16,1,N,5153,"Vascular dementia, severe, with mood disturbance",09/20/2024
52434,51,F01.C4,16,1,N,5154,"Vascular dementia, severe, with anxiety",09/20/2024
52434,51,F02.80,16,1,N,5157,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F02.811,16,1,N,5159,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation",09/20/2024
52434,51,F02.818,16,1,N,5160,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance",09/20/2024
52434,51,F02.82,16,1,N,5161,"Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance",09/20/2024
52434,51,F02.83,16,1,N,5162,"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance",09/20/2024
52434,51,F02.84,16,1,N,5163,"Dementia in other diseases classified elsewhere, unspecified severity, with anxiety",09/20/2024
52434,51,F02.A0,16,1,N,5165,"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F02.A11,16,1,N,5167,"Dementia in other diseases classified elsewhere, mild, with agitation",09/20/2024
52434,51,F02.A18,16,1,N,5168,"Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance",09/20/2024
52434,51,F02.A2,16,1,N,5169,"Dementia in other diseases classified elsewhere, mild, with psychotic disturbance",09/20/2024
52434,51,F02.A3,16,1,N,5170,"Dementia in other diseases classified elsewhere, mild, with mood disturbance",09/20/2024
52434,51,F02.A4,16,1,N,5171,"Dementia in other diseases classified elsewhere, mild, with anxiety",09/20/2024
52434,51,F02.B0,16,1,N,5173,"Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F02.B11,16,1,N,5175,"Dementia in other diseases classified elsewhere, moderate, with agitation",09/20/2024
52434,51,F02.B18,16,1,N,5176,"Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance",09/20/2024
52434,51,F02.B2,16,1,N,5177,"Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance",09/20/2024
52434,51,F02.B3,16,1,N,5178,"Dementia in other diseases classified elsewhere, moderate, with mood disturbance",09/20/2024
52434,51,F02.B4,16,1,N,5179,"Dementia in other diseases classified elsewhere, moderate, with anxiety",09/20/2024
52434,51,F02.C0,16,1,N,5181,"Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F02.C11,16,1,N,5183,"Dementia in other diseases classified elsewhere, severe, with agitation",09/20/2024
52434,51,F02.C18,16,1,N,5184,"Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance",09/20/2024
52434,51,F02.C2,16,1,N,5185,"Dementia in other diseases classified elsewhere, severe, with psychotic disturbance",09/20/2024
52434,51,F02.C3,16,1,N,5186,"Dementia in other diseases classified elsewhere, severe, with mood disturbance",09/20/2024
52434,51,F02.C4,16,1,N,5187,"Dementia in other diseases classified elsewhere, severe, with anxiety",09/20/2024
52434,51,F03.90,16,1,N,5190,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F03.911,16,1,N,5192,"Unspecified dementia, unspecified severity, with agitation",09/20/2024
52434,51,F03.918,16,1,N,5193,"Unspecified dementia, unspecified severity, with other behavioral disturbance",09/20/2024
52434,51,F03.92,16,1,N,5194,"Unspecified dementia, unspecified severity, with psychotic disturbance",09/20/2024
52434,51,F03.93,16,1,N,5195,"Unspecified dementia, unspecified severity, with mood disturbance",09/20/2024
52434,51,F03.94,16,1,N,5196,"Unspecified dementia, unspecified severity, with anxiety",09/20/2024
52434,51,F03.A0,16,1,N,5198,"Unspecified dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F03.A11,16,1,N,5200,"Unspecified dementia, mild, with agitation",09/20/2024
52434,51,F03.A18,16,1,N,5201,"Unspecified dementia, mild, with other behavioral disturbance",09/20/2024
52434,51,F03.A2,16,1,N,5202,"Unspecified dementia, mild, with psychotic disturbance",09/20/2024
52434,51,F03.A3,16,1,N,5203,"Unspecified dementia, mild, with mood disturbance",09/20/2024
52434,51,F03.A4,16,1,N,5204,"Unspecified dementia, mild, with anxiety",09/20/2024
52434,51,F03.B0,16,1,N,5206,"Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",09/20/2024
52434,51,F03.B11,16,1,N,5208,"Unspecified dementia, moderate, with agitation",09/20/2024
