lcd_id,lcd_version,article_id,article_version,contractor_id,last_updated
32553,21,56424,20,228,03/22/2019
33252,29,57520,43,368,10/14/2019
33252,29,58257,3,368,06/19/2020
33261,40,57531,60,368,05/21/2021
33261,40,58751,6,368,05/21/2021
33267,17,57649,9,368,11/21/2019
33274,43,57715,55,368,09/19/2025
33274,43,60162,7,368,09/19/2025
33312,40,55426,132,388,03/16/2017
33312,40,52505,80,138,04/04/2014
33317,34,55426,132,139,03/20/2017
33317,34,52478,26,139,04/04/2014
33318,63,52465,72,140,12/04/2025
33318,63,55426,132,140,12/04/2025
33318,63,60371,4,140,12/04/2025
33369,26,55426,132,388,04/27/2017
33369,26,52501,47,138,04/04/2014
33370,58,52466,87,140,12/11/2025
33370,58,55426,132,140,12/03/2025
33370,58,60378,3,140,12/11/2025
33393,10,52830,9,308,04/02/2014
33394,55,52370,135,297,05/22/2025
33394,55,59983,4,297,05/22/2025
33394,55,52399,75,297,05/22/2025
33394,55,52855,31,297,05/22/2025
33394,55,54548,36,297,05/22/2025
33394,55,52420,64,297,05/22/2025
33394,55,52421,23,297,05/22/2025
33394,55,52423,84,297,05/22/2025
33394,55,52453,49,297,05/22/2025
33394,55,52448,24,297,05/22/2025
33394,55,52450,83,297,05/22/2025
33394,55,52451,89,297,06/26/2025
33396,11,57453,5,297,10/18/2019
33398,40,57528,5,297,06/18/2026
33398,40,60452,5,297,06/18/2026
33399,15,57030,11,297,09/06/2019
33405,25,55831,3,368,12/06/2017
33405,25,57496,14,368,10/11/2019
33405,25,58259,3,368,06/19/2020
33411,29,57145,32,368,10/02/2019
33417,40,55502,3,378,04/05/2017
33417,40,56559,26,378,05/08/2019
33420,41,53095,28,378,10/13/2016
33422,45,56565,20,394,05/16/2019
33423,58,55670,3,374,07/28/2017
33423,58,56691,28,391,07/02/2019
33428,53,55667,3,378,07/26/2017
33428,53,53497,15,378,07/26/2017
33428,53,56658,42,391,06/25/2019
33431,59,56686,16,394,07/02/2019
33436,38,56732,15,394,08/07/2019
33438,47,55504,3,378,04/05/2017
33438,47,56531,19,378,04/29/2019
33444,42,55409,3,378,12/15/2016
33444,42,56784,18,394,07/23/2019
33445,79,55403,3,374,12/13/2016
33445,79,56346,27,391,02/15/2019
33446,47,56730,27,394,07/17/2019
33447,48,55407,3,378,12/14/2016
33447,48,56771,25,394,07/21/2019
33449,36,56621,26,378,06/10/2019
33455,31,56724,5,394,07/16/2019
33456,71,56777,16,391,07/23/2019
33457,61,54768,38,378,12/03/2015
33457,61,56476,35,391,04/08/2019
33458,70,55428,3,378,01/10/2017
33458,70,56646,24,394,06/25/2019
33459,46,56580,30,391,05/14/2019
33461,64,55382,3,378,12/07/2016
33461,64,56695,24,378,07/03/2019
33467,49,53060,48,234,02/12/2015
33557,48,52850,56,297,04/02/2014
33558,33,55257,6,297,09/09/2016
33558,33,56544,28,297,07/25/2019
33559,29,56737,31,297,02/02/2022
33559,29,58889,5,297,02/02/2022
33560,36,56743,26,297,07/25/2019
33563,27,56766,25,297,07/26/2019
33567,28,56726,43,297,07/25/2019
33569,32,58445,3,297,10/08/2020
33569,32,56178,21,297,10/08/2020
33573,25,56826,12,297,11/01/2019
33574,38,56551,34,297,07/25/2019
33575,44,55704,7,269,11/10/2017
33575,44,52870,38,269,12/22/2017
33576,24,57455,24,297,10/17/2019
33577,44,56781,39,297,07/25/2019
33578,18,57427,11,297,10/04/2019
33579,39,52868,46,297,10/03/2024
33579,39,59913,4,297,10/03/2024
33580,41,52866,35,297,04/02/2014
33583,21,57063,29,368,10/02/2019
33585,34,52849,36,297,04/02/2014
33591,19,56844,26,297,11/01/2019
33609,14,57651,5,368,11/21/2019
33610,70,55426,132,389,03/11/2017
33610,70,52509,73,137,04/04/2014
33611,25,52512,46,389,06/18/2021
33611,25,55426,132,389,06/22/2021
33611,25,58823,4,389,06/18/2021
33612,26,55426,132,389,05/02/2017
33612,26,52519,39,137,04/04/2014
33614,27,54858,3,297,02/05/2016
33614,27,56617,26,297,07/26/2019
33616,11,55318,4,297,09/08/2016
33616,11,56954,6,297,11/14/2019
33618,23,57765,26,368,11/21/2019
33619,25,56787,24,297,07/26/2019
33621,16,56549,13,297,07/25/2019
33622,36,59655,2,297,02/05/2024
33622,36,52863,59,297,02/05/2024
33623,26,56823,22,297,11/01/2019
33624,34,52823,3,297,04/02/2014
33624,34,56865,29,297,11/08/2019
33626,45,52824,5,297,04/02/2014
33626,45,56850,33,297,02/07/2020
33627,90,56758,62,297,07/26/2019
33628,34,56550,12,297,07/25/2019
33630,28,56548,20,297,07/25/2019
33631,52,56566,46,297,12/19/2019
33632,83,52825,12,297,07/19/2017
33632,83,56937,43,297,11/21/2019
33633,50,56747,29,297,07/25/2019
33636,53,57759,36,297,12/19/2019
33641,21,55426,132,139,04/19/2017
33641,21,52481,30,139,04/04/2014
33642,26,55426,132,139,05/01/2017
33642,26,52490,27,139,04/04/2014
33646,40,52848,42,297,04/02/2014
33667,23,57064,15,368,10/02/2019
33671,48,55937,46,368,01/29/2021
33671,48,58610,5,368,01/29/2021
33674,10,57636,24,368,11/21/2019
33686,43,55426,132,388,03/08/2017
33686,43,52457,65,140,04/02/2014
33689,17,57767,12,368,11/21/2019
33690,20,55426,132,388,04/24/2017
33690,20,52458,40,140,04/03/2014
33692,21,55426,132,140,05/01/2017
33692,21,52468,22,140,04/03/2014
33693,28,57125,22,368,12/08/2023
33693,28,57807,124,370,11/15/2023
33693,28,59602,4,368,12/08/2023
33693,28,60318,5,368,03/27/2026
33695,26,57670,8,368,11/21/2019
33718,52,52467,54,388,06/18/2021
33718,52,55426,132,388,06/18/2021
33718,52,58824,3,388,06/18/2021
33733,19,55426,132,140,03/21/2017
33733,19,52459,23,140,04/03/2014
33735,19,55426,132,140,04/12/2017
33735,19,52460,16,140,04/03/2014
33736,20,55426,132,140,03/13/2017
33736,20,52461,21,140,04/03/2014
33737,20,55426,132,140,04/11/2017
33737,20,52462,32,140,04/03/2014
33738,18,55426,132,140,05/04/2017
33738,18,52463,32,140,04/03/2014
33739,23,55426,132,140,04/25/2017
33739,23,52469,28,140,04/03/2014
33751,43,55824,4,368,11/30/2017
33751,43,57804,41,368,11/21/2019
33756,23,57179,22,368,10/02/2019
33766,25,57637,20,368,11/21/2019
33771,42,56841,18,368,08/02/2019
33774,15,56704,10,368,07/15/2019
33774,15,56705,3,368,07/15/2019
33784,21,55426,132,388,04/12/2017
33784,21,52502,20,138,04/04/2014
33785,40,55426,132,388,03/16/2017
33785,40,52494,63,138,04/04/2014
33786,16,55426,132,388,04/25/2017
33786,16,52495,18,138,04/04/2014
33787,40,52496,64,388,07/12/2024
33787,40,55426,132,388,07/12/2024
33787,40,59857,3,388,07/12/2024
33788,15,55426,132,388,04/21/2017
33788,15,52497,35,138,04/04/2014
33789,38,55426,132,388,04/12/2017
33789,38,52498,64,138,04/04/2014
33790,20,55426,132,388,03/09/2017
33790,20,52500,46,138,04/04/2014
33791,15,55426,132,388,04/19/2017
33791,15,52503,26,138,04/04/2014
33792,43,55426,132,388,03/09/2017
33792,43,52504,61,138,04/04/2014
33793,20,55426,132,388,04/27/2017
33793,20,52499,23,138,04/04/2014
33794,171,52507,156,389,11/20/2025
33794,171,60373,4,389,12/04/2025
33794,171,55426,132,389,12/04/2025
33795,29,55426,132,389,04/19/2017
33795,29,52510,61,137,04/04/2014
33796,24,59402,2,389,05/11/2023
33796,24,55426,132,389,05/11/2023
33796,24,52513,50,389,05/11/2023
33797,50,52514,61,389,06/12/2020
33797,50,55426,132,389,06/12/2020
33797,50,58247,3,389,06/12/2020
33799,15,55426,132,389,05/01/2017
33799,15,52516,26,137,04/04/2014
33800,43,52517,50,389,06/18/2021
33800,43,55426,132,389,06/22/2021
33800,43,58822,3,389,06/18/2021
33801,26,59403,4,389,05/11/2023
33801,26,55426,132,389,05/11/2023
33801,26,52518,36,389,05/11/2023
33802,35,55426,132,389,05/02/2017
33802,35,52520,31,137,04/04/2014
33803,61,52521,55,139,11/07/2025
33803,61,55426,132,139,11/07/2025
33803,61,60353,4,139,11/07/2025
33813,15,57638,7,370,11/22/2019
33818,15,57660,6,370,11/22/2019
33820,21,55426,132,389,03/23/2017
33820,21,52508,39,137,04/04/2014
33821,28,55426,132,389,03/15/2017
33821,28,52511,28,137,04/04/2014
33822,70,59330,6,140,02/23/2023
33822,70,52464,65,140,03/02/2023
33822,70,55426,132,140,03/02/2023
33823,26,55426,132,139,03/20/2017
33823,26,52476,27,139,04/04/2014
33824,56,55426,132,139,04/19/2017
33824,56,52474,40,139,04/04/2014
33825,17,55426,132,139,04/19/2017
33825,17,52477,16,139,04/04/2014
33826,22,55426,132,139,03/20/2017
33826,22,52479,73,139,04/04/2014
33827,55,55426,132,139,03/06/2017
33827,55,52480,90,139,04/04/2014
33828,27,55426,132,139,04/24/2017
33828,27,52487,33,139,04/04/2014
33830,22,55426,132,139,05/01/2017
33830,22,52489,24,139,04/04/2014
33831,48,54563,54,139,07/24/2017
33831,48,55426,132,139,05/31/2017
33832,20,55426,132,139,05/02/2017
33832,20,52492,22,139,04/04/2014
33833,26,57666,36,368,12/10/2021
33833,26,58960,7,368,12/10/2021
33906,75,56651,36,368,10/22/2021
33906,75,58928,7,368,10/22/2021
33907,16,57802,16,370,11/22/2019
33912,16,57114,21,370,10/02/2019
33912,23,57114,21,368,07/17/2026
33912,23,60437,4,368,07/17/2026
33922,12,57672,6,370,11/22/2019
33923,14,57115,10,370,10/02/2019
33930,49,57787,47,368,06/21/2024
33930,49,59829,6,368,06/21/2024
33933,30,57788,41,370,11/22/2019
33937,18,57669,10,370,10/25/2019
33937,18,57671,4,370,10/25/2019
33941,23,57188,27,370,10/02/2019
33942,50,57311,35,236,09/20/2019
33943,24,56425,16,228,03/22/2019
33944,27,56439,18,228,03/25/2019
33945,21,56454,12,228,03/28/2019
33946,17,56493,13,228,04/08/2019
33947,25,56451,26,228,03/25/2019
33949,26,56472,23,228,03/28/2019
33950,38,56448,22,228,03/25/2019
33952,20,56452,22,228,03/25/2019
33954,26,56453,12,228,05/15/2019
33958,14,57540,15,370,10/16/2019
33958,14,57535,3,370,10/16/2019
33959,36,56500,39,228,04/08/2019
33960,27,56494,17,228,04/08/2019
33966,18,57118,3,370,10/02/2019
33967,25,57755,18,370,11/22/2019
33975,25,57726,7,368,11/21/2019
33977,18,57633,8,370,10/25/2019
33977,18,57493,3,370,10/25/2019
33979,36,55155,3,345,07/12/2016
33979,36,57162,17,345,09/18/2019
