lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
32553,21,239,8,1,10/29/2024
32553,21,228,9,2,10/29/2024
32553,21,240,8,1,10/29/2024
32553,21,238,9,2,10/29/2024
33252,29,368,12,1,06/19/2020
33252,29,370,12,1,06/19/2020
33252,29,369,12,1,06/19/2020
33252,29,371,12,1,06/19/2020
33252,29,372,12,1,06/19/2020
33261,40,368,12,1,05/21/2021
33261,40,370,12,1,05/21/2021
33261,40,369,12,1,05/21/2021
33261,40,371,12,1,05/21/2021
33261,40,372,12,1,05/21/2021
33267,17,368,12,1,11/21/2019
33267,17,370,12,1,11/21/2019
33267,17,369,12,1,11/21/2019
33267,17,371,12,1,11/21/2019
33267,17,372,12,1,11/21/2019
33274,43,368,12,1,09/19/2025
33274,43,370,12,1,09/19/2025
33274,43,369,12,1,09/19/2025
33274,43,371,12,1,09/19/2025
33274,43,372,12,1,09/19/2025
33312,40,388,10,1,09/23/2025
33312,40,140,10,2,09/23/2025
33312,40,389,10,1,09/23/2025
33312,40,139,10,2,09/23/2025
33317,34,388,10,1,03/27/2025
33317,34,140,10,2,03/27/2025
33317,34,389,10,1,03/27/2025
33317,34,139,10,2,03/27/2025
33318,63,388,10,1,12/04/2025
33318,63,140,10,2,12/04/2025
33318,63,389,10,1,12/04/2025
33318,63,139,10,2,12/04/2025
33369,26,388,10,1,02/28/2020
33369,26,140,10,2,02/28/2020
33369,26,389,10,1,02/28/2020
33369,26,139,10,2,02/28/2020
33370,58,388,10,1,02/12/2026
33370,58,140,10,2,02/12/2026
33370,58,389,10,1,02/12/2026
33370,58,139,10,2,02/12/2026
33393,10,503,11,1,07/14/2026
33393,10,518,13,1,07/14/2026
33394,55,500,8,1,07/16/2026
33394,55,504,9,1,07/16/2026
33394,55,501,8,1,07/16/2026
33394,55,505,9,1,07/16/2026
33394,55,502,8,1,07/16/2026
33394,55,506,9,1,07/16/2026
33394,55,507,13,1,07/16/2026
33394,55,509,13,1,07/16/2026
33394,55,508,13,1,07/16/2026
33394,55,510,13,1,07/16/2026
33394,55,511,13,1,07/16/2026
33394,55,512,13,1,07/16/2026
33394,55,517,13,1,07/16/2026
33394,55,519,13,1,07/16/2026
33394,55,514,13,1,07/16/2026
33394,55,520,13,1,07/16/2026
33394,55,515,13,1,07/16/2026
33394,55,521,13,1,07/16/2026
33394,55,513,13,1,07/16/2026
33394,55,523,13,1,07/16/2026
33394,55,516,13,1,07/16/2026
33394,55,522,13,1,07/16/2026
33396,11,500,8,1,07/14/2026
33396,11,504,9,1,07/14/2026
33396,11,501,8,1,07/14/2026
33396,11,505,9,1,07/14/2026
33396,11,502,8,1,07/14/2026
33396,11,506,9,1,07/14/2026
33396,11,507,13,1,07/14/2026
33396,11,509,13,1,07/14/2026
33396,11,508,13,1,07/14/2026
33396,11,510,13,1,07/14/2026
33396,11,511,13,1,07/14/2026
33396,11,512,13,1,07/14/2026
33396,11,517,13,1,07/14/2026
33396,11,519,13,1,07/14/2026
33396,11,514,13,1,07/14/2026
33396,11,520,13,1,07/14/2026
33396,11,515,13,1,07/14/2026
33396,11,521,13,1,07/14/2026
33396,11,513,13,1,07/14/2026
33396,11,523,13,1,07/14/2026
33396,11,516,13,1,07/14/2026
33396,11,522,13,1,07/14/2026
