contractor_name_type,document_display_id,document_id,document_type,document_version,effective_date,note,retirement_date,title,updated_on,updated_on_sort,url
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L40330,40330,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806151607,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40330&ver=6
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L40328,40328,LCD,5,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806122547,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40328&ver=5
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L38026,38026,LCD,30,08/13/2026,,N/A,Corneal Hysteresis,08/06/2026,20260806122059,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=38026&ver=30
"WPS Insurance Corporation
(MAC - Part A, MAC - Part B)",L40341,40341,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/06/2026,20260806111538,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40341&ver=6
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L40324,40324,LCD,6,09/27/2026,Future(Notice Ends 09/26/2026),N/A,Allergy Diagnostic Testing,08/05/2026,20260805150447,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40324&ver=6
"Noridian Healthcare Solutions, LLC
(MAC - Part A, MAC - Part B)",L40255,40255,LCD,8,08/13/2026,(Notice Ended 06/20/2026),N/A,Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,08/05/2026,20260805083222,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40255&ver=8
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37244,37244,LCD,41,04/01/2026,,N/A,Micro-Invasive Glaucoma Surgery (MIGS),08/04/2026,20260804092329,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37244&ver=41
"Palmetto GBA
(MAC - Part A, MAC - Part B)",L37761,37761,LCD,23,06/02/2024,Retired,07/31/2026,Magnetic Resonance Image Guided High Intensity Focused Ultrasound (MRgFUS) for Essential Tremor,07/31/2026,20260731230005,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37761&ver=23
"Wellpoint Federal
(MAC - Part A, MAC - Part B)",L37421,37421,LCD,37,04/01/2026,Retired,07/31/2026,Magnetic Resonance Image Guided High Intensity Focused Ultrasound (MRgFUS) for Tremor,07/31/2026,20260731230005,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37421&ver=37
"CGS Administrators, LLC
(MAC - Part A, MAC - Part B)",L37790,37790,LCD,21,09/04/2025,Retired,07/31/2026,Magnetic Resonance Guided Focused Ultrasound Surgery System (MRgFUS) for the treatment of neurologic conditions,07/31/2026,20260731230004,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37790&ver=21
"Wellpoint Federal
(MAC - Part B)",L39027,39027,LCD,8,04/01/2026,,N/A,Respiratory Pathogen Panel Testing,07/30/2026,20260730150224,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39027&ver=8
"CGS Administrators, LLC
(HHH MAC)",L33942,33942,LCD,50,08/06/2026,,N/A,Physical Therapy - Home Health,07/27/2026,20260727121917,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=33942&ver=50
