last_updated,lcd_id,lcd_version,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
08/06/2026,40330,6,60377,5,507,,,1,/data/article?articleid=60377&ver=5
08/06/2026,40330,6,60523,3,507,,,2,/data/article?articleid=60523&ver=3
08/06/2026,40328,5,60375,5,391,,,1,/data/article?articleid=60375&ver=5
08/06/2026,40328,5,60513,3,391,,,2,/data/article?articleid=60513&ver=3
08/06/2026,40328,5,,,391,40327,4,3,/data/lcd?lcdid=40327&ver=4
08/28/2019,38026,30,56968,2,391,,,1,/data/article?articleid=56968&ver=2
08/28/2019,38026,30,,,391,38025,5,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38025:4
08/06/2026,40341,6,60391,4,143,,,1,/data/article?articleid=60391&ver=4
08/06/2026,40341,6,60524,3,143,,,2,/data/article?articleid=60524&ver=3
08/06/2026,40341,6,,,143,40340,3,3,/data/lcd?lcdid=40340&ver=3
08/05/2026,40324,6,60361,7,364,,,1,/data/article?articleid=60361&ver=7
08/05/2026,40324,6,60510,4,364,,,2,/data/article?articleid=60510&ver=4
04/29/2026,40255,8,60279,4,360,,,1,/data/article?articleid=60279&ver=4
04/29/2026,40255,8,60428,3,360,,,2,/data/article?articleid=60428&ver=3
04/29/2026,40255,8,,,360,40254,6,3,/data/lcd?lcdid=40254&ver=6
09/23/2024,37244,41,56588,33,297,,,1,/data/article?articleid=56588&ver=33
09/23/2024,37244,41,59912,3,297,,,2,/data/article?articleid=59912&ver=3
09/23/2024,37244,41,,,297,33558,33,3,/data/lcd?lcdid=33558&ver=33
04/10/2024,37761,23,56690,18,391,,,1,/data/article?articleid=56690&ver=18
04/10/2024,37761,23,59702,4,391,,,2,/data/article?articleid=59702&ver=4
04/10/2024,37761,23,,,391,39732,5,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39732:4
01/08/2026,37421,37,57435,27,297,,,1,/data/article?articleid=57435&ver=27
01/08/2026,37421,37,60386,2,297,,,2,/data/article?articleid=60386&ver=2
01/15/2021,37790,21,58323,13,228,,,1,/data/article?articleid=58323&ver=13
01/15/2021,37790,21,58563,3,228,,,2,/data/article?articleid=58563&ver=3
01/15/2021,37790,21,,,228,38756,8,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38756:7
10/08/2021,39027,8,58741,18,299,,,1,/data/article?articleid=58741&ver=18
10/08/2021,39027,8,58890,8,299,,,2,/data/article?articleid=58890&ver=8
09/20/2019,33942,50,57311,35,236,,,1,/data/article?articleid=57311&ver=35
07/16/2020,33996,33,56798,29,228,,,1,/data/article?articleid=56798&ver=29
07/16/2020,33996,33,58270,2,228,,,2,/data/article?articleid=58270&ver=2
07/16/2020,33996,33,,,228,38491,4,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38491:3
07/05/2019,34061,26,56692,19,228,,,1,/data/article?articleid=56692&ver=19
09/23/2019,34246,26,57193,31,228,,,2,/data/article?articleid=57193&ver=31
09/16/2019,34200,30,57044,22,228,,,1,/data/article?articleid=57044&ver=22
09/06/2019,34063,19,57043,24,238,,,1,/data/article?articleid=57043&ver=24
06/17/2021,38920,16,58582,20,228,,,1,/data/article?articleid=58582&ver=20
06/17/2021,38920,16,58727,3,228,,,2,/data/article?articleid=58727&ver=3
06/17/2021,38920,16,,,228,38919,7,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38919:6
04/16/2025,35986,38,59295,6,228,,,2,/data/article?articleid=59295&ver=6
04/16/2025,35986,38,59791,4,228,,,3,/data/article?articleid=59791&ver=4
04/16/2025,35986,38,,,228,39504,7,4,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39504:6
05/12/2025,35986,38,59292,6,228,,,5,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=59292:5
03/15/2019,37608,22,56354,3,239,,,1,/data/article?articleid=56354&ver=3
08/14/2019,37608,22,56926,17,228,,,2,/data/article?articleid=56926&ver=17
02/19/2019,37608,22,,,228,37607,4,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=37607:3
12/16/2020,34659,32,58466,4,143,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=58466:3
12/16/2020,34659,32,,,143,38833,4,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38833:3
12/22/2020,34659,32,56395,18,143,,,3,/data/article?articleid=56395&ver=18
12/22/2020,34659,32,58568,2,143,,,4,/data/article?articleid=58568&ver=2
10/22/2019,38213,13,57631,2,143,,,1,/data/article?articleid=57631&ver=2
10/22/2019,38213,13,57630,11,143,,,2,/data/article?articleid=57630&ver=11
10/22/2019,38213,13,,,143,38212,3,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38212:2
08/22/2024,39905,5,59805,20,143,,,1,/data/article?articleid=59805&ver=20
08/22/2024,39905,5,59904,2,143,,,2,/data/article?articleid=59904&ver=2
08/14/2024,39905,5,,,143,39904,3,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39904:2
09/18/2024,39905,5,,,143,39907,3,4,/data/lcd?lcdid=39907&ver=3
07/17/2026,33912,23,57114,21,368,,,1,/data/article?articleid=57114&ver=21
07/17/2026,33912,23,60437,4,368,,,2,/data/article?articleid=60437&ver=4
07/17/2026,33912,23,,,368,40314,11,3,/data/lcd?lcdid=40314&ver=11
07/17/2026,35010,50,57751,28,331,,,1,/data/article?articleid=57751&ver=28
07/17/2026,35010,50,60436,4,331,,,2,/data/article?articleid=60436&ver=4
07/17/2026,35010,50,,,331,40310,20,3,/data/lcd?lcdid=40310&ver=20
05/16/2024,38773,32,58364,39,238,,,1,/data/article?articleid=58364&ver=39
05/16/2024,38773,32,59737,3,238,,,2,/data/article?articleid=59737&ver=3
06/18/2026,33398,40,57528,5,297,,,1,/data/article?articleid=57528&ver=5
06/18/2026,33398,40,60452,5,297,,,2,/data/article?articleid=60452&ver=5
05/21/2026,40302,3,60324,3,297,,,1,/data/article?articleid=60324&ver=3
05/21/2026,40302,3,60430,4,297,,,2,/data/article?articleid=60430&ver=4
11/01/2019,33591,19,56844,26,297,,,1,/data/article?articleid=56844&ver=26
05/21/2026,35000,156,56199,130,297,,,1,/data/article?articleid=56199&ver=130
05/21/2026,35000,156,60451,8,297,,,2,/data/article?articleid=60451&ver=8
08/09/2019,37810,26,56867,45,297,,,1,/data/article?articleid=56867&ver=45
02/02/2022,37810,26,58984,4,297,,,2,/data/article?articleid=58984&ver=4
06/03/2024,35936,59,57826,37,297,,,1,/data/article?articleid=57826&ver=37
