lcd_id,lcd_version,rev_hist_num,rev_hist_date,rev_hist_exp,last_updated
32553,21,17,10/25/2025,This policy is being replaced with new policy L40056 Allergen Immunotherapy (AIT) with Subcutaneous Immunotherapy (SCIT) that became effective 10/26/2025.,11/12/2025
32553,21,16,11/07/2024,"R16
Revision Effective: 11/07/2024
Revision Explanation: Annual review, no changes were made.

10/29/2024: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/29/2024
32553,21,15,11/02/2023,"R15
Revision Effective: 11/02/2023
Revision Explanation: Annual review, no changes were made.

10/27/2023: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/27/2023
32553,21,14,10/27/2022,"R14
Revision Effective: 10/27/2022
Revision Explanation: Annual review, no changes were made.

10/21/2022: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/21/2022
32553,21,13,10/21/2021,"R13
Revision Effective: 10/21/2021
Revision Explanation: Annual review, no changes were made.

10/15/2021: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/15/2021
32553,21,12,11/07/2019,"R12
Revision Effective: N/A
Revision Explanation: Annual review, no changes made.

10/07/2020: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/07/2020
32553,21,11,11/07/2019,Annual Review,10/29/2019
32553,21,10,09/19/2019,"R10
Revision Effective: 09/19/2019
Revision Explanation: Converted policy into new policy template that no longer includes coding section based on CR 10901.

09/19/2019:At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",09/11/2019
32553,21,9,03/28/2019,"R9
Revision Effective: 03/28/2019
Revision Explanation: removed all coding and billing information from policy into article for Billing and Coding for Allergy Immunotherapy A56424 that can be found below in related article section. Coding information was removed based on CR10901.

03/22/2019:At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",03/22/2019
32553,21,8,10/01/2015,"R8
Revision Effective: N/A
Revision Explanation: Annual review no changes made.

10/30/2018:At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination; and, therefore not all the fields included on the LCD are applicable as noted in this policy.",10/30/2018
32553,21,7,10/01/2015,"R7
Revision Effective: N/A
Revision Explanation: Annual review no changes made.",10/30/2017
32553,21,6,10/01/2015,"R6
Revision Effective: N/A
Revision Explanation: annual review no changes made.",10/31/2016
32553,21,5,10/01/2015,"R5
Revision Effective: 10/01/2015
Revision Explanation: Added J30.81 to group 1 and T88.6XXA to group 3 ICD-10 codes support medical necessity.",12/28/2015
32553,21,4,10/01/2015,"R4
Revision Effective: 10/01/2015
Revision Explanation: group 2 had a typographical error T63.422D shold have been T63.421D",12/14/2015
32553,21,3,10/01/2015,"R3
Revision Effective: 10/01/2015
Revision Explanation: Icd-10 code in range T63.421-T63.464 have been added with the 7th character 'D' in group one. Also added J45.21, J45.22, J45.31, J45.32, J45.41, J45.42, J45.51, and J45.52 in group one",11/23/2015
32553,21,2,10/01/2015,"R2
Revision Effective: N/A
Revision Explanation: Annual review no changes made.",10/13/2015
32553,21,1,10/01/2015,"R1
Revision Effective: N/A
Revision Explanation: Accepted revenue code description changes.",06/10/2015
33252,29,10,07/01/2020,"Revision Number: 7
Publication: June 2020 Connection
LCR A/B2020-043

Explanation of Revision: Based on a CMS directive, the LCD was revised to remove language in the “Limitations” section regarding multiple family group psychotherapy. The effective date of this revision is based on date of service.",06/19/2020
33252,29,9,01/08/2019,"Revision Number : 6
Publication: October 2019 Connection
LCR A/B2019-069

Explanation of Revision: Based on Change Request (CR) 10901, the LCD was revised to remove all billing and coding and all language not related to reasonable and necessary provisions (“Bill Type Codes,” “Revenue Codes,” “CPT/HCPCS Codes,” “ICD-10 Codes that Support Medical Necessity,” “Documentation Requirements” and “Utilization Guidelines” sections of the LCD) and place them into a newly created billing and coding article. During the process of moving the ICD-10-CM diagnosis codes to the billing and coding article, the ICD-10-CM diagnosis code ranges were broken out and listed individually. In addition, the Social Security Act, Code of Federal Regulations, and IOM reference sections were updated. The effective date of this revision is for claims processed on or after January 08, 2019, for dates of service on or after October 03, 2018.

At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this LCD.",10/14/2019
33252,29,8,10/01/2018,"Revision Number: 5
Publication: September 2018 Connection
LCR A/B2018-074

Explanation of Revision: Based on CR 10847 (Annual 2019 ICD-10-CM Update), the LCD was revised. Added ICD-10-CM diagnosis codes F12.93 and F53.0-F53.1. Deleted ICD-10-CM diagnosis code F53. In addition, the LCD was revised to indicate that diagnosis codes were added and descriptors revised within existing diagnosis code ranges. The effective date of this revision is based on date of service.

10/01/2018: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this LCD.",10/03/2018
33252,29,7,10/01/2017,"Revision Number: 4

Publication: September 2017 Connection

LCR A/B2017-038

Explanation of Revision: Based on CR 10153 (Annual 2018 ICD-10-CM Update) the LCD was revised. Descriptor revised for ICD-10-CM diagnosis code F41.0. Added ICD-10-CM diagnosis code F12.11. The effective date of this revision is based on date of service.

10/01/2017: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this policy.",09/22/2017
33252,29,6,01/01/2017,"Revision Number: 3 Publication: December 2016 Connection LCR A/B2017-001

Explanation of Revision: Annual 2017 HCPCS Update. Descriptors revised for CPT codes 90832, 90833, 90834, 90836, 90837, 90838, 90846, and 90847. Additionally, this LCD was revised in the “Indications and Limitations of Coverage and/or Medical Necessity” and “Documentation Guidelines” sections to reflect descriptor changes for the following CPT/HCPCS codes: 90832-90838. The effective date of this revision is based on date of service.",12/14/2016
33252,29,5,10/01/2016,"Revision Number: 2
Publication: October 2016 Connection
LCR A/B2016-097

Explanation of Revision: Based on CR 9677 (Annual 2017 ICD-10-CM Update) the LCD was revised. Revised ICD-10-CM diagnosis code range F32.0-F32.8 to read F32.0-F32.89, F34.0-F34.8 to read F34.0-F34.89, F42-F43.8 to read F42.2-F43.8, and F50.00-F50.8 to read F50.00-F50.89. Deleted diagnosis codes F32.8, F34.8, F42.2, and F50.8. The effective date of this revision is based on date of service.",10/10/2016
33252,29,4,06/28/2016,"Revision Number: 1
Publication: N/A
LCR A/B2016-074

Explanation of Revision: This LCD was revised based on a recommendation from the provider community to add ICD-10-CM diagnosis code Z01.818 to the “ICD-10 Codes that Support Medical Necessity” sections of the LCD. The effective date of this revision is for claims processed on or after 6/28/2016.",06/24/2016
33252,29,3,10/01/2015,08/11/2015 - - The language and/or ICD-10-CM diagnoses were updated to be consistent with the current ICD-9-CM LCD’s language and coding.,08/11/2015
33252,29,2,10/01/2015,3/13/2015: The language and/or ICD-10-CM diagnoses were updated to be consistent with the current ICD-9-CM LCD’s language and coding.,03/13/2015
33252,29,1,10/01/2015,05/29/2014 – The language and/or ICD-10-CM diagnoses were updated to be consistent with current LCD language and ICD-9-CM coding.,05/23/2014
33261,40,10,07/11/2021,"LCD posted for notice on 05/27/2021 to become effective 07/11/2021.

Proposed LCD posted for comment on 01/14/2021.",05/21/2021
33261,40,9,07/01/2020,"Revision Number: 7
Publication: June 2020 Connection
LCR A/B2020-041

Explanation of Revision: Based on a CMS directive, the LCD was revised to remove language in the “Limitations” section. The effective date of this revision is based on date of service.",06/19/2020
33261,40,8,11/19/2019,"Revision Number: 6

Publication: October 2019 Connection

LCR A/B2019-072

Explanation of Revision: Based on CR 10901, the LCD was revised to remove all billing and coding and all language not related to reasonable and necessary provisions (“Bill Type Codes,” “Revenue Codes,” “CPT/HCPCS Codes,” “ICD-10 Codes that Support Medical Necessity,” “Documentation Requirements” and “Utilization Guidelines” sections of the LCD and place them into a newly created billing and coding article. During the process of moving the ICD-10-CM diagnosis codes to the billing and coding article, the ICD-10-CM diagnosis code ranges were broken out and listed individually. In addition, the Social Security Act, Code of Federal Regulations, and IOM reference sections were updated. The effective date of this revision is for claims processed on or after January 8, 2019, for dates of service on or after October 3, 2018.

Also, after review of the information that was moved from the LCD to the billing and coding article the following revisions were made: CPT codes 86343, 95831, 95832, 95833, and 95834 were removed as they are already included in First Coast’s Noncovered Services LCD and do not apply to this LCD and CPT codes 83516, 84600, 86140, 86628, 88341, 88342, 88344, and 88346 were removed as they do not apply to this LCD. In addition, ICD-10-CM codes T63.001A-T63.414S, T63.431A-T63.434S, T63.481A-T63.94XS were removed from the “ICD-10-CM Codes that Support Medical Necessity/Group 1 Codes and Group 2 Codes” sections of the Billing and Coding article as they do not apply to this LCD. Furthermore, CPT codes 86001, 86332, 86485, and 95065 were added to the “ICD-10-CM Codes that Do Not Support Medical Necessity/Group 1 Paragraph” section of the Billing and Coding Article as the allergy testing limitations apply to these CPT codes. The effective date of these revisions is for dates of service on or after 11/19/2019.

11/19/2019: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this LCD.",10/17/2019
33261,40,7,02/07/2019,"Revision Number: 5
Publication: February 2019 Connection
LCR A/B2019-021

Explanation of Revision: Based on a review of the LCD, CPT code 86005 was removed from the “ICD-10 Codes that DO NOT Support Medical Necessity” section of the LCD as this service is a non-specific screening test that does not identify a specific antigen, and is not covered. This LCD revision is effective for claims processed on or after 02/07/2019.

02/07/2019: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this LCD.",02/01/2019
33261,40,6,01/01/2018,"01/18/2019: Based on a review of the LCD, grammatical and/or typographical errors were identified and corrected.",01/22/2019
33261,40,5,01/01/2018,"Revision Number: 3

Publication: December 2017 Connection

LCR A/B2018-001

Explanation of Revision: Annual 2018 HCPCS Update. Descriptor revised for CPT codes 86003 and 86005. In addition, added CPT code 86008 to the “ICD-10 Codes that Support Medical Necessity –Group I” and “Utilization Guidelines” sections of the LCD. The effective date of this revision is based on date of service.

01/01/2018: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this policy.",01/05/2018
33261,40,4,05/12/2017,"Revision Number: 2 Publication: June 2017 Connection LCR A/B2017-023

Explanation of Revision: Based on CR 8776, the following verbiage was removed from the “CPT/HCPCS Codes” section of the LCD: “Per CR 8572, beginning in CY 2014, payment for most laboratory tests (except for molecular pathology tests) will be packaged under the OPPS, therefore the clinical laboratory tests listed below, for TOB 13X (outpatient hospital), are packaged in this setting.” The effective date of this revision is for claims processed on or after 05/12/2017, for dates of service on or after 01/01/2014.",06/02/2017
33261,40,3,01/01/2016,"Revision Number: 1 Publication: December 2015 Connection
LCR A/B 2016-001

Explanation of Revision: Annual 2016 HCPCS Update. Descriptor revised for CPT code 88346. The effective date of this revision is based on date of service.",10/13/2016
33261,40,2,01/01/2016,"Revision Number: 1 Publication: December 2015 Connection
LCR A/B 2016-001

Explanation of Revision: Annual 2016 HCPCS Update. Descriptor revised for CPT code 88346. The effective date of this revision is based on date of service.",12/18/2015
33261,40,1,10/01/2015,3/13/2015: The language and/or ICD-10-CM diagnoses were updated to be consistent with the current ICD-9-CM LCD’s language and coding.,03/13/2015
33267,17,5,01/08/2019,"Revision Number: 3
Publication: November 2019 Connection
LCR A/B2019–075

Explanation of Revision: Based on Change Request (CR) 10901, The LCD was revised to remove all billing and coding and all language not related to reasonable and necessary provisions ( “Bill Type Codes,” “Revenue Codes,” “CPT/HCPCS Codes,” “ICD-10 Codes that Support Medical Necessity,” “Documentation Requirements” and “Utilization Guidelines” sections of the LCD) and place them into a newly created billing and coding article. During the process of moving the ICD-10–CM diagnosis codes to the billing and coding article, the ICD-10-CM diagnosis code ranges were broken out and listed individually. In addition, the Social Security Act, Code of Federal Regulations, and IOM reference sections were updated. The effective date of this revision is for claims processed on or after January 8, 2019, for dates of service on or after October 3, 2018.

At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and notice. This revision is not a restriction to the coverage determination and therefore not all the fields included on the LCD are applicable as noted in this LCD.",11/21/2019
